,node1,node2,timestamp
411,3,35,20181
412,3,62,9436
413,62,80,47398
414,9,62,10924
415,69,84,14354
420,29,63,45675
421,3,18,42454
423,69,76,21073
428,50,76,8939
429,29,42,44702
430,1,74,54154
431,7,10,11203
432,19,66,34814
433,18,19,46646
436,1,19,7450
438,19,67,18746
439,9,19,1306
441,19,91,16726
443,74,92,16127
445,65,74,40064
447,7,19,11323
448,1,19,44692
449,65,74,516
450,19,76,5431
451,76,93,43416
452,1,13,8219
453,1,13,5634
455,1,13,43622
461,9,74,50473
462,3,85,6600
465,3,85,49891
468,15,33,7546
470,15,62,15449
472,18,19,31763
476,69,84,6144
477,72,73,719
479,72,74,5311
480,9,66,15075
481,9,67,18097
484,4,48,8198
485,1,13,43777
487,69,95,20580
489,21,85,7320
490,13,65,6356
492,13,65,44061
493,29,42,52648
494,12,15,10512
498,61,88,32765
500,12,88,48905
502,13,65,20982
503,15,32,47561
504,15,32,42413
508,61,88,10596
509,88,96,7890
510,12,88,3109
511,15,88,10637
512,30,32,46729
514,30,32,21329
515,9,67,56264
519,13,65,12745
521,33,46,31579
523,22,33,23640
525,33,93,36395
529,63,83,14252
530,11,83,27868
531,30,32,22688
533,70,75,13342
534,20,62,22623
535,22,63,46619
536,15,33,5480
538,40,86,37200
539,42,64,41392
542,42,43,14793
544,45,62,31430
546,70,75,8189
547,62,63,10635
548,45,63,17920
549,54,56,26028
551,29,63,19099
554,63,83,36365
555,33,42,9633
556,19,66,35181
557,9,66,10491
558,22,98,50962
559,19,86,47162
560,7,32,9096
562,4,74,18825
564,4,74,10688
565,1,46,6836
566,30,32,5932
568,37,63,29277
569,37,63,49130
571,1,46,33573
572,21,90,36196
575,19,90,1905
576,68,85,30776
579,69,76,23031
580,69,84,24691
582,18,99,4211
584,93,99,38045
589,1,2,8229
590,1,3,39469
592,1,9,32954
593,1,10,47808
595,1,12,10119
596,1,13,38028
599,1,4,46126
600,1,16,10842
601,1,17,19675
602,18,90,51986
603,15,96,38545
604,61,96,27971
605,12,96,20216
607,37,63,16480
609,33,42,52595
612,21,100,28368
613,61,96,43343
614,39,62,41715
619,3,66,21693
621,3,8,13309
623,3,4,6301
624,3,68,39580
625,3,69,21740
626,3,85,24589
627,3,17,5198
630,15,54,4229
631,10,54,108
632,3,13,31905
634,7,29,52117
635,7,29,24767
637,7,29,32112
639,15,66,24271
641,1,46,15025
642,7,29,9184
643,3,8,34324
645,15,83,10930
647,38,67,41974
648,15,17,50059
649,17,56,8092
650,17,54,2142
651,36,38,19084
652,10,54,3118
654,7,42,7025
655,17,56,43443
656,56,88,16592
658,21,56,7701
659,3,68,26
660,7,42,339
661,63,83,27317
662,32,87,11350
664,27,101,7211
668,42,43,54956
669,27,93,38099
670,3,13,11841
672,33,42,3418
673,3,66,22517
674,27,42,9214
676,7,42,36601
677,15,33,17292
679,15,33,36022
680,84,85,16009
681,15,54,11591
682,15,17,8229
683,15,83,50284
684,54,56,11171
686,54,56,44041
687,74,87,22147
689,74,87,50990
691,27,42,17184
693,23,29,46480
694,29,42,3270
695,19,91,3170
696,62,91,15629
697,80,91,2720
698,7,15,7618
699,1,15,28875
701,1,15,9375
702,7,15,33089
704,3,66,30658
705,48,56,37222
706,23,91,23047
707,50,91,6336
709,48,56,5315
710,63,91,30847
711,64,69,21352
714,52,103,35953
715,74,104,36090
716,69,76,37283
717,83,103,6356
719,3,4,35561
720,52,103,142
722,29,42,11015
723,56,88,21786
724,24,25,13203
725,24,32,44567
726,24,32,46561
727,33,54,17403
729,33,54,41574
733,19,93,2505
734,15,56,12015
735,53,70,28536
737,86,90,9571
738,53,86,53250
742,4,13,19134
744,4,27,18314
745,4,93,3744
746,4,101,13281
747,4,93,37589
749,12,72,47849
750,12,15,48021
752,56,81,52718
753,15,56,13170
754,54,56,10202
756,12,72,41830
760,54,56,7522
761,72,73,51111
763,5,33,1977
764,15,54,45194
765,54,56,3606
768,4,35,28117
769,4,81,50341
775,33,61,51380
776,7,80,2747
777,3,4,4913
778,59,69,21252
779,59,86,28320
781,59,76,26070
782,59,88,2660
783,59,67,8488
785,59,68,15340
786,56,59,8070
788,59,89,12153
791,2,59,8756
792,3,4,25043
793,4,18,26640
794,4,27,48967
795,64,80,21789
797,50,75,27341
798,69,76,35671
799,50,75,13199
801,54,56,24324
803,69,84,1062
804,33,83,3241
805,4,35,7361
806,33,83,28034
807,32,38,35552
810,56,61,22499
811,56,96,45782
813,53,70,20395
814,52,103,10614
816,56,61,3864
817,22,94,13882
819,47,48,1567
820,47,48,3639
822,52,103,27481
826,22,94,774
827,56,96,1945
833,18,19,89
834,22,94,23438
836,42,84,3033
837,22,94,26816
839,18,107,21347
840,18,108,30566
842,18,99,50350
843,18,109,40481
845,18,111,22189
846,18,57,11325
847,3,51,32762
848,35,51,11407
849,8,51,45616
850,59,68,20190
851,56,59,17190
852,59,84,33922
853,59,88,35432
855,59,94,18286
857,59,85,30526
859,59,89,12249
861,59,76,49143
862,2,59,24622
863,1,74,43131
864,3,51,13422
865,45,63,8023
866,18,19,5598
869,56,81,41400
873,22,94,15008
874,47,48,18934
875,50,75,21371
876,12,15,9159
877,15,72,12910
878,1,74,6308
879,83,103,38611
880,18,88,10580
883,3,85,36380
886,15,38,17475
887,38,39,48767
888,83,103,2863
891,59,66,49569
892,31,53,8528
894,15,72,47474
895,4,86,51489
896,4,35,15593
899,64,67,46288
900,4,35,12782
901,69,76,12993
902,72,73,18835
903,4,86,4627
905,50,76,12707
908,1,85,706
910,76,84,7032
912,84,89,233
913,84,88,16018
914,19,86,6943
916,50,76,18995
917,1,75,48366
918,1,75,54072
919,69,76,7062
920,1,85,16578
921,50,76,7925
922,50,76,10944
923,1,75,8691
924,20,35,35921
925,1,75,34512
927,42,112,28565
928,42,112,3603
930,72,73,25438
932,7,18,47626
933,18,47,18434
934,8,51,20182
936,3,27,2144
938,27,66,48151
939,26,27,29509
941,27,39,47401
944,26,27,21528
945,53,70,9711
946,1,18,1155
948,48,53,33906
954,15,56,11310
955,3,77,4594
956,3,8,7615
959,4,13,28937
961,3,18,716
963,3,50,56593
967,3,52,31840
969,3,52,21816
970,3,8,23628
973,47,50,4024
974,26,45,50307
975,30,83,10236
976,15,56,8329
978,68,85,56292
980,69,84,5260
982,47,50,8985
983,18,104,44733
984,104,109,27155
985,57,104,33540
988,15,56,29713
989,15,54,128
990,50,75,13687
992,50,75,239
993,1,74,12112
994,3,53,2287
995,22,94,20461
996,59,94,12064
998,21,86,56143
1000,68,85,41968
1001,59,67,11394
1002,59,94,40255
1005,68,85,1413
1007,22,38,676
1008,68,85,12580
1009,77,112,10546
1010,69,86,14010
1014,40,86,714
1015,75,86,5249
1017,27,86,18115
1019,86,101,53728
1023,1,5,41061
1025,1,7,49122
1031,1,11,14184
1032,1,12,31466
1033,1,14,49654
1037,1,6,2536
1038,1,7,8698
1039,1,2,36979
1040,1,10,35388
1041,1,11,45383
1042,1,12,34863
1043,1,13,47713
1044,1,4,9170
1045,1,16,11489
1046,1,38,10625
1047,1,18,22416
1048,18,104,33952
1051,3,13,47642
1052,13,35,12058
1053,13,17,20789
1054,3,13,40176
1058,3,35,25960
1059,15,96,57233
1060,61,96,10959
1061,12,96,45331
1063,27,64,24253
1066,50,75,11398
1067,33,34,7317
1068,2,94,11995
1071,15,96,27770
1072,27,64,3845
1074,3,67,25335
1075,3,8,24512
1076,3,35,20959
1077,3,13,52378
1078,3,4,32551
1079,3,68,21410
1080,3,85,31332
1084,3,4,18951
1086,3,8,38144
1087,3,52,54254
1088,42,64,21674
1095,14,94,23156
1097,4,53,1039
1098,3,35,28336
1099,7,22,57733
1100,3,67,2859
1101,67,72,7498
1102,12,96,46143
1104,13,35,6254
1105,3,66,43566
1106,13,50,7293
1111,50,76,10612
1112,42,64,48899
1116,3,68,16359
1119,15,50,11997
1124,15,61,41238
1125,50,54,29803
1128,50,54,30370
1130,43,79,50197
1131,15,17,19126
1132,17,54,1142
1133,17,56,25232
1135,17,54,32412
1137,56,88,34959
1138,18,104,31753
1141,56,88,36122
1142,42,63,12442
1143,31,80,17023
1148,9,112,7154
1150,1,7,54226
1151,67,80,52765
1156,1,38,12911
1157,2,68,5283
1158,2,94,6254
1161,2,85,12823
1162,2,86,2846
1165,2,48,43057
1166,2,76,23220
1167,2,88,8215
1169,2,32,14023
1170,2,59,30776
1171,2,32,31040
1172,2,84,15521
1173,2,89,26928
1174,2,59,4674
1175,88,89,49216
1176,69,88,11131
1177,2,48,18821
1178,2,88,30889
1179,2,56,414
1180,42,64,46681
1182,2,47,102
1183,1,7,660
1184,22,38,47709
1185,2,76,30023
1186,3,66,43987
1187,50,82,35403
1189,37,38,11517
1191,47,68,1319
1193,64,66,9639
1195,42,64,18809
1196,47,68,41755
1197,67,115,45388
1202,18,104,13191
1205,65,92,17876
1207,92,116,16879
1209,9,64,8706
1210,9,64,2448
1211,79,80,20539
1212,18,80,21654
1213,9,80,34481
1218,72,80,54038
1221,80,91,50866
1222,62,80,197
1223,27,80,25893
1224,80,104,4643
1225,4,48,4785
1227,22,42,17884
1228,27,80,38863
1230,53,76,27885
1233,9,80,20580
1235,3,66,33732
1237,7,30,25519
1238,7,22,30857
1239,7,31,30688
1241,7,55,36618
1242,7,15,25361
1244,7,51,8733
1245,7,29,3573
1246,7,63,5292
1248,7,35,17510
1249,7,115,9434
1251,1,7,11233
1253,7,43,30725
1254,7,59,4533
1255,7,44,46954
1256,7,81,32459
1257,7,32,3982
1258,7,58,5613
1259,7,57,22195
1260,7,83,16002
1262,7,42,31767
1263,7,8,6467
1265,7,14,11086
1266,7,100,2612
1267,7,13,57444
1272,7,45,50571
1273,7,68,13386
1276,7,74,11673
1277,7,105,6482
1278,7,67,35474
1279,7,24,30604
1280,7,68,25220
1281,7,59,28576
1282,1,7,11832
1284,7,105,16332
1287,50,82,40007
1288,18,80,8952
1289,6,7,15786
1291,6,8,34201
1292,6,8,52500
1294,79,80,43526
1295,7,27,4880
1296,7,29,1719
1297,7,90,25847
1298,104,109,13344
1303,7,63,28386
1304,63,80,6706
1305,56,81,25449
1306,15,81,48744
1309,7,13,14834
1310,7,42,40994
1311,56,81,15979
1312,18,109,10746
1313,7,33,13699
1315,9,15,6338
1316,9,15,45517
1317,4,35,362
1318,53,68,1967
1320,7,70,34909
1322,1,4,5621
1323,4,7,30911
1327,50,76,50536
1328,50,76,6149
1331,15,30,16466
1335,17,30,8326
1338,17,30,7578
1339,20,30,11229
1340,30,35,23913
1344,15,30,1882
1346,5,30,30457
1347,7,43,2588
1348,30,39,54701
1349,30,35,19756
1351,7,30,43552
1352,30,32,11189
1353,30,32,28770
1354,24,27,14516
1355,7,30,19083
1356,15,61,42486
1357,30,54,49912
1358,30,54,34911
1359,41,81,35784
1360,32,38,30953
1361,26,32,11046
1362,37,38,8897
1363,27,81,4961
1366,15,27,33120
1367,24,27,42742
1368,26,27,5765
1369,27,38,36931
1370,27,64,824
1371,27,42,28461
1373,3,27,13454
1375,27,68,22686
1377,27,56,57316
1378,27,39,34312
1379,27,83,39452
1381,27,62,288
1384,24,27,25354
1387,62,68,9144
1389,26,94,32531
1390,59,94,7907
1391,30,94,38027
1396,27,42,9955
1397,42,64,48365
1398,2,94,19191
1399,3,8,7739
1400,3,52,43578
1401,3,18,50610
1402,3,53,9425
1403,3,50,26781
1404,3,35,57003
1409,72,80,41150
1410,42,64,34812
1411,3,52,861
1413,3,53,5923
1414,27,32,29966
1415,38,63,34731
1416,22,38,46676
1418,27,56,48014
1421,3,8,19163
1423,7,83,22733
1424,15,56,31825
1425,9,59,43212
1426,14,59,31050
1427,59,67,8789
1428,15,56,20417
1429,7,15,19342
1430,47,68,15971
1432,33,61,27364
1433,33,118,29248
1435,33,117,6706
1436,3,13,13812
1437,15,17,50197
1438,15,54,45680
1439,33,61,20800
1441,3,66,34417
1442,3,18,41781
1443,3,51,6979
1445,7,67,32315
1446,27,67,6706
1447,37,38,22754
1451,3,18,10427
1453,1,8,5894
1454,7,8,546
1456,30,35,21801
1457,27,39,7437
1460,27,66,424
1461,3,27,36538
1463,27,39,22260
1464,27,38,31188
1465,27,80,9876
1468,15,27,4003
1469,27,72,10750
1471,27,69,50566
1472,27,90,12867
1473,27,62,2939
1475,26,27,34571
1477,25,27,14832
1478,27,31,23279
1479,27,42,33146
1480,9,27,35855
1483,24,27,22953
1485,66,80,452
1487,30,35,17879
1489,66,80,22538
1490,66,80,31930
1492,27,66,46842
1493,42,64,18966
1494,27,66,2215
1496,27,39,2195
1497,7,20,49471
1498,25,27,47906
1499,3,35,16398
1500,3,20,10821
1501,3,50,3613
1502,3,8,12659
1504,3,52,719
1505,3,18,51823
1506,3,13,33640
1507,3,53,27732
1508,13,20,15397
1510,3,52,36693
1513,37,38,4034
1514,36,38,14679
1515,53,68,2964
1516,27,68,22590
1517,47,68,4359
1518,15,54,2554
1521,7,35,28556
1523,27,42,25909
1524,63,83,847
1526,1,35,45658
1527,35,51,4597
1528,66,67,22967
1532,42,112,33705
1533,22,42,8982
1534,42,98,6565
1535,37,42,44872
1536,42,63,16937
1537,27,39,10645
1538,42,43,7967
1540,7,35,29368
1542,53,68,23481
1543,22,42,18279
1544,42,112,14514
1545,37,38,56013
1546,3,53,19836
1547,3,35,34305
1549,9,67,22959
1551,27,67,42288
1552,9,67,16622
1553,37,42,4265
1556,88,96,54193
1557,12,88,12672
1558,15,88,2475
1559,42,64,30770
1560,59,67,3839
1561,47,50,10798
1563,9,66,54095
1564,1,35,42000
1565,7,35,11795
1566,3,35,55054
1572,42,87,16195
1574,37,38,10896
1576,15,54,27915
1577,64,90,19965
1578,2,85,6147
1579,7,10,29212
1580,15,54,742
1581,15,54,7965
1584,64,90,51368
1585,7,10,34106
1587,41,81,29984
1588,7,31,44224
1589,7,51,6291
1590,18,51,1826
1591,15,54,18868
1593,7,10,16065
1594,3,51,20117
1596,3,51,10935
1600,48,53,46233
1601,26,27,33193
1602,24,26,9217
1603,26,32,582
1604,81,88,54324
1605,27,81,47629
1606,24,27,974
1607,37,38,6356
1608,7,10,27224
1609,26,32,12613
1612,27,81,38181
1613,23,45,34972
1616,37,38,33919
1619,29,39,6155
1621,17,30,17651
1622,17,30,41197
1623,3,8,46675
1625,3,18,18414
1627,29,54,5319
1630,15,54,442
1631,54,61,7258
1632,54,96,56414
1633,54,119,20149
1634,54,120,2861
1635,54,88,43354
1638,29,54,53814
1640,20,62,10863
1642,15,30,11221
1643,15,30,35212
1644,84,86,53775
1645,54,96,21373
1647,62,69,11995
1648,54,88,13037
1650,7,68,49978
1651,68,85,11478
1655,43,79,3829
1656,30,33,15757
1657,9,72,24128
1658,72,92,6289
1661,13,76,6448
1662,27,83,10204
1663,3,83,16494
1665,9,59,48159
1669,72,74,28042
1670,72,73,33
1671,65,92,21984
1672,3,83,20246
1674,7,15,24820
1675,1,15,2
1677,1,15,1044
1680,67,80,11877
1682,42,43,4836
1683,37,42,47532
1684,7,15,8632
1687,22,42,8492
1688,22,42,43484
1689,22,42,53082
1690,15,27,52221
1691,15,27,26752
1692,27,62,42866
1694,19,84,11323
1695,69,76,11914
1698,1,38,14672
1700,3,83,50870
1701,38,72,12476
1704,38,69,40497
1707,15,54,23826
1708,9,38,36696
1710,15,66,27793
1711,9,66,2451
1712,9,67,19511
1713,9,67,43516
1716,9,92,42988
1719,9,67,3891
1720,9,66,48898
1722,15,66,42889
1723,53,84,6348
1724,40,84,27506
1726,2,22,22773
1728,13,76,41638
1730,13,40,52761
1731,40,84,24697
1732,18,55,27203
1738,18,99,37097
1740,18,19,22690
1741,13,40,13747
1744,3,35,21853
1745,15,96,80
1750,42,87,8835
1751,13,40,8230
1752,61,96,52748
1756,33,61,46478
1757,33,117,3273
1758,33,118,2384
1759,33,61,5604
1760,18,55,39136
1761,9,92,50914
1762,27,72,9150
1764,1,10,38676
1768,1,7,1525
1769,1,10,52343
1772,22,63,30370
1774,63,98,19015
1776,3,8,56021
1777,3,35,12913
1780,3,67,11450
1781,3,68,3107
1783,3,17,3352
1785,3,13,56486
1786,3,17,53678
1787,2,22,44163
1791,3,35,34399
1792,1,10,21210
1793,1,10,49261
1796,15,33,10893
1797,7,14,22710
1800,14,32,22610
1802,54,120,47865
1804,3,50,56386
1805,24,45,14407
1807,53,84,32043
1810,12,96,23194
1812,12,15,55831
1814,12,15,10397
1816,15,61,57447
1817,3,50,9379
1818,33,83,35889
1820,93,101,17983
1821,15,17,1720
1823,17,54,55502
1824,15,17,22469
1826,56,88,43541
1827,68,85,29070
1828,13,76,28725
1829,13,76,8259
1832,45,63,32137
1833,1,10,30356
1835,1,7,19905
1836,1,10,15287
1837,35,81,21330
1838,3,8,22657
1840,69,84,10490
1841,59,69,28671
1844,59,76,13314
1846,59,94,14730
1847,59,68,25893
1849,59,85,11713
1850,59,86,769
1851,48,59,46477
1854,53,68,18168
1855,69,86,1715
1857,69,84,7018
1859,69,72,25759
1860,18,80,24508
1861,18,80,50783
1862,13,20,7203
1864,40,84,29037
1865,7,68,10108
1866,15,54,12754
1867,56,94,34558
1868,42,79,1631
1869,53,84,2060
1871,3,20,8376
1873,3,20,14042
1874,20,30,30524
1877,20,28,36190
1882,18,83,4954
1884,18,83,11882
1886,7,22,3034
1888,1,38,1275
1889,15,83,43202
1891,9,94,23192
1892,92,94,23426
1893,65,94,34095
1894,14,94,24976
1896,21,76,28340
1897,18,80,15111
1898,21,76,32965
1900,1,38,42109
1903,9,65,19307
1904,27,90,30522
1908,36,38,25840
1909,19,57,27087
1910,19,57,21220
1911,19,57,7053
1913,64,90,49063
1914,56,94,3440
1915,92,94,41154
1916,65,94,3525
1917,14,94,13360
1918,9,94,16913
1919,9,36,28883
1920,36,38,1352
1921,50,75,17100
1922,59,67,46622
1924,32,87,117
1926,9,36,56783
1928,72,80,4229
1931,66,80,33803
1932,48,50,52042
1933,66,80,15239
1934,64,80,51149
1935,64,80,361
1936,24,26,47523
1937,24,83,16641
1939,24,66,21660
1940,42,79,11713
1941,48,50,2729
1942,42,43,18981
1944,24,26,20580
1945,25,31,20176
1947,36,38,14421
1948,3,13,25849
1950,3,53,15703
1951,3,51,36191
1952,3,52,17822
1954,3,35,6356
1955,3,20,25364
1957,4,69,22918
1960,27,50,50067
1962,106,121,2212
1965,4,13,28615
1966,4,86,16592
1967,4,69,1272
1968,4,35,26579
1972,4,13,34673
1973,3,53,9676
1974,3,35,22776
1975,3,8,7264
1979,59,80,12076
1981,59,67,23394
1982,18,80,22780
1983,21,88,14432
1984,21,88,1816
1985,72,80,8235
1986,45,63,19237
1988,15,24,46449
1989,15,88,446
1990,15,88,21327
1991,15,88,10218
1992,18,115,11456
1994,18,115,40865
1995,1,7,1107
1997,1,7,2924
1998,53,84,3684
1999,50,76,28592
2000,6,106,23014
2002,25,31,5283
2003,25,31,41202
2005,50,76,6356
2006,65,92,7784
2007,9,92,37255
2008,92,116,35538
2009,65,92,7073
2010,9,92,48331
2011,92,116,18620
2013,9,92,11713
2014,92,116,25829
2016,38,72,16302
2017,9,38,52269
2018,38,56,2949
2019,38,68,21555
2021,7,68,24666
2022,67,115,12656
2024,27,88,17202
2025,12,54,55617
2026,12,54,42682
2028,27,50,53360
2029,69,84,38870
2030,65,92,51073
2031,9,92,18846
2032,92,116,23958
2034,9,92,34960
2037,68,70,3825
2038,48,70,6706
2041,23,64,54830
2042,23,64,4746
2043,3,35,20982
2044,53,70,6173
2045,59,95,14918
2046,3,35,841
2049,70,95,18873
2050,70,87,30236
2051,70,112,27532
2053,70,82,57336
2054,49,70,49581
2055,70,112,37470
2056,70,87,8667
2057,13,70,6503
2058,40,70,24393
2059,38,70,37909
2060,36,70,52019
2061,38,70,29960
2062,70,104,36428
2063,3,35,45943
2064,3,51,42091
2067,59,72,34988
2068,59,67,31908
2069,18,37,32637
2071,18,38,55305
2072,1,18,30313
2073,18,38,20198
2074,18,37,8362
2077,18,55,22154
2078,18,19,52139
2081,18,19,53115
2082,13,17,7228
2083,70,82,14421
2085,3,20,7075
2087,79,92,35183
2090,15,72,43301
2091,15,88,7729
2092,15,88,50356
2095,70,95,21581
2096,3,50,27597
2097,49,70,51128
2099,59,66,32238
2100,59,67,41395
2101,7,68,43254
2102,3,50,4599
2103,50,53,56143
2104,50,75,21329
2105,3,50,20342
2106,37,38,40016
2108,45,63,12053
2109,50,86,36731
2110,3,13,11146
2112,68,90,27920
2113,85,90,22397
2115,50,75,8054
2119,15,88,27413
2123,104,109,38297
2124,57,104,6150
2126,104,109,30647
2130,15,88,6510
2131,50,68,31120
2132,13,17,24695
2134,68,85,55063
2135,50,68,51082
2136,85,90,50566
2137,18,85,53078
2138,59,86,15504
2140,86,94,17585
2141,69,76,2860
2142,80,84,2397
2144,69,86,42059
2146,68,69,46273
2147,18,108,20806
2149,69,84,24495
2153,1,38,6075
2155,67,68,28213
2157,3,68,34130
2159,15,68,26963
2162,68,92,7276
2165,22,77,39382
2167,18,85,57162
2168,3,13,33022
2170,18,55,10508
2171,18,104,4557
2172,18,55,27484
2173,13,65,18354
2176,13,40,7079
2177,15,96,39107
2179,12,96,39215
2181,4,65,14477
2184,3,4,25996
2186,3,35,10761
2188,3,35,49778
2190,3,13,3239
2191,104,109,48517
2192,18,110,38156
2194,104,109,51895
2195,61,96,13517
2196,14,31,5646
2198,15,72,1892
2199,15,96,48915
2201,4,13,27245
2204,18,55,15401
2205,50,86,5998
2206,50,86,40089
2208,3,8,57690
2209,3,4,38224
2210,3,68,4799
2212,3,17,11525
2213,3,66,10830
2215,3,13,53749
2217,3,4,2380
2218,3,8,7846
2219,18,27,14714
2220,3,13,9551
2222,19,57,16165
2227,63,83,32292
2228,2,22,2548
2229,12,96,1219
2230,2,22,5909
2232,14,31,49287
2233,14,31,51590
2237,12,15,34091
2238,15,54,33863
2240,12,72,26961
2241,50,53,36317
2242,3,13,50656
2243,12,15,37666
2244,53,70,5973
2246,12,72,5901
2247,71,72,35485
2250,72,117,8501
2251,72,74,27852
2253,3,68,25938
2254,72,73,7733
2255,72,74,25178
2256,12,72,33803
2257,71,72,42804
2259,5,72,40076
2260,72,117,15010
2261,72,74,24965
2262,15,72,37306
2263,15,17,38480
2264,17,56,3123
2267,15,62,535
2268,3,62,43919
2269,39,62,25925
2273,56,59,50898
2274,59,86,30950
2275,59,68,43800
2278,59,89,16323
2279,48,59,51548
2280,59,76,23353
2285,2,59,27428
2287,62,113,24217
2288,56,88,38969
2289,63,83,14115
2291,9,25,21330
2292,15,61,14435
2293,66,67,42214
2294,9,67,53226
2297,47,59,40139
2299,59,69,42439
2300,56,59,6595
2302,59,86,4059
2303,59,84,1720
2304,59,89,27437
2305,48,59,54129
2306,59,76,4359
2308,2,59,45545
2309,56,88,22187
2311,84,93,29724
2312,13,20,46767
2313,35,81,2358
2316,25,26,20501
2320,69,84,10593
2321,59,84,33909
2322,35,81,25683
2323,41,81,50899
2324,39,62,36058
2325,50,76,46137
2327,39,120,28704
2329,28,39,22058
2330,39,122,395
2334,48,68,21390
2336,68,85,53342
2337,1,8,1218
2338,14,31,18189
2340,13,20,24191
2341,81,88,14722
2342,27,81,26952
2343,18,109,4886
2344,9,66,24179
2345,9,67,7472
2346,81,88,8406
2349,1,37,14015
2352,31,74,29449
2353,31,74,29170
2355,3,62,378
2357,1,37,50960
2359,3,51,12068
2360,3,18,20746
2362,3,35,41935
2363,3,52,56871
2364,3,50,3174
